f600210f0000000000000000c0931602| START_THREAD
2e0e01000c0000000000000000000000| KAOMADO
34000100000000000000000080911602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0f0200000000000000000000000000| KAOMADO
34000200000000000000000098861602| MSG_SPEECH
34000200000000000000000044561702| MSG_SPEECH
340002000000000000000000b4861602| MSG_SPEECH
340002000000000000000000ac381702| MSG_SPEECH
340002000000000000000000a8801602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
48003c00000000000000000000000000| FADE_OUT
e4000600000000000000000000000000| SET_FLAG
e4000700000000000000000000000000| SET_FLAG
e4000800000000000000000000000000| SET_FLAG
e4000900000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
89080001000000000000000000000000| UNKNOWN_89
db001e00000000000000000000000000| SLEEP
2e150100030000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000506e1602| CASE
d10000000000000000000000f8781602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
2e150100020000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000070d91602| CASE
d00003000000000000000000a0d91602| CASE
d10000000000000000000000c0fc1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db003c00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db003c00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e020100060000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000c07a1602| CASE
d10000000000000000000000c0801602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
4c000000d90100000000000000000000| PLAY_SOUND
e8002b00000000000000000000000000| EXECUTE
6b0000021f0000000000000000000000| MOVETO_GRID
91040100070000000000000000000000| ROTATE
db001000000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e150100040000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000608d1602| CASE
d10000000000000000000000387e1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000a00000000000000000000000000| SET_FLAG
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040100030000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
91040a00050000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
91040a00060000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
e4000a00000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
3b060000000000000000000000000000| UNKNOWN_3b
db003c00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040200070000000000000000000000| ROTATE
db001e00000000000000000000000000| SLEEP
2e020100090000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000e0271702| CASE
d00001000000000000000000608f1602| CASE
d10000000000000000000000e0ed1602| DEFAULT
d1000000000000000000000070e51602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db002d00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
db001e00000000000000000000000000| SLEEP
2e150100030000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000b8aa1702| CASE
d10000000000000000000000e87f1702| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
9d000001000000000000000000000000| UNKNOWN_9d
e4000300000000000000000000000000| SET_FLAG
52000000001000000000000000000000| UNKNOWN_52
e4000600000000000000000000000000| SET_FLAG
ef000000000000000000000000000000| END
