f6004c00000000000000000074681602| START_THREAD
d100000000000000000000009c6d1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
4c000000d50100000000000000000000| PLAY_SOUND
e8002900000000000000000000000000| EXECUTE
e8002100000000000000000000000000| EXECUTE
4d000000d50100000000000000000000| STOP_SOUND
db002800000000000000000000000000| SLEEP
4c000000e20100000000000000000000| PLAY_SOUND
e8002b00000000000000000000000000| EXECUTE
e200e201000000000000000000000000| WAIT_SEND
2e1500000c0000000000000000000000| KAOMADO
33000000000000000000000018671602| MSG_THOUGHT
33000000000000000000000000681602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
2e150000040000000000000000000000| KAOMADO
3300000000000000000000000c6d1602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001e00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
cf022600010000000000000000000000| VARY_MSG
d000010000000000000000009c6a1602| CASE
d00001000000000000000000fc6f1602| CASE
d10000000000000000000000086a1602| DEFAULT
d1000000000000000000000078691602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
2e150000000000000000000000000000| KAOMADO
3300000000000000000000002c6e1602| MSG_THOUGHT
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
3b160000000000000000000000000000| UNKNOWN_3b
3d000000010000000000000000000000| RENAME
db001400000000000000000000000000| SLEEP
2d070000000000000000000000000000| LOAD
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000094681602| CASE
d000030000000000000000002c6a1602| CASE
d100000000000000000000009c691602| DEFAULT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e1501000a0000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000030661602| CASE
d00003000000000000000000ac671602| CASE
d10000000000000000000000b8661602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
db001e00000000000000000000000000| SLEEP
91060a00000000000000000000000000| ROTATE
db000f00000000000000000000000000| SLEEP
4c000000d60100000000000000000000| PLAY_SOUND
e8002a00000000000000000000000000| EXECUTE
db002d00000000000000000000000000| SLEEP
91060a00020000000000000000000000| ROTATE
48003c00000000000000000000000000| FADE_OUT
db003c00000000000000000000000000| SLEEP
3400ffff00000000000000001c681602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000600000000000000000000000000| SET_FLAG
4c000000d20100000000000000000000| PLAY_SOUND
e8002800000000000000000000000000| EXECUTE
91040100060000000000000000000000| ROTATE
db001e00000000000000000000000000| SLEEP
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d00001000000000000000000506a1602| CASE
d10000000000000000000000646b1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
0d01ffff000000000000000000000000| CALL
e3000500000000000000000000000000| WAIT_FLAG
910a0100040000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
db001400000000000000000000000000| SLEEP
cf022600010000000000000000000000| VARY_MSG
d0000100000000000000000000671602| CASE
d1000000000000000000000050661602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db001400000000000000000000000000| SLEEP
440000000a0000000000000000000000| PLAY_SONG
e4000700000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e0e0200000000000000000000000000| KAOMADO
34000200000000000000000000721602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
e3000500000000000000000000000000| WAIT_FLAG
2e1501000c0000000000000000000000| KAOMADO
34000100000000000000000060651602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000c00000000000000000000000000| SLEEP
3400020000000000000000003c721602| MSG_SPEECH
340002000000000000000000846c1602| MSG_SPEECH
340002000000000000000000b8721602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
3400010000000000000000003c6d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
340002000000000000000000f8741602| MSG_SPEECH
3400020000000000000000005c761602| MSG_SPEECH
3400020000000000000000006c6d1602| MSG_SPEECH
30000000000000000000000000000000| MSG_EXIT
e4000700000000000000000000000000| SET_FLAG
db003c00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
91040100020000000000000000000000| ROTATE
e3000500000000000000000000000000| WAIT_FLAG
2e150100000000000000000000000000| KAOMADO
cf022600010000000000000000000000| VARY_MSG
d000010000000000000000006c701602| CASE
d10000000000000000000000c46a1602| DEFAULT
30000000000000000000000000000000| MSG_EXIT
db000a00000000000000000000000000| SLEEP
e4000600000000000000000000000000| SET_FLAG
db000100000000000000000000000000| SLEEP
6b008001080000000000000000000000| MOVETO_GRID
6b008001090000000000000000000000| MOVETO_GRID
e4000300000000000000000000000000| SET_FLAG
6b0080010a0000000000000000000000| MOVETO_GRID
f0000000000000000000000000000000| CLOSE
